state,yr,qtr,index_nsa,index_sa,Warning
AK,1991,1,100.00,100.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,2,101.03,100.27,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,3,102.16,101.36,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,4,102.51,102.36,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,1,102.87,102.81,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,2,104.37,103.59,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,3,105.17,104.33,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,4,104.51,104.47,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,1,104.87,104.71,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,2,107.32,106.50,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,3,108.41,107.59,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,4,110.47,110.51,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,1,111.31,111.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,2,112.11,111.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,3,112.92,112.17,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,4,111.30,111.36,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,1,114.57,114.29,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,2,116.40,115.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,3,117.75,117.04,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,4,117.70,117.77,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,1,120.51,120.27,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,2,121.52,120.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,3,120.53,119.78,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,4,123.19,123.27,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,1,122.53,122.43,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,2,125.15,123.79,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,3,125.30,124.43,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
