Name,Population,B19001_001E,Median Household Income,Aggregate Income,Aggregate Household Income,Ratio of Income to Poverty Level,Median Value,Earnings,Wage or Salary Income,Self-Employed Income,"Interest, Dividend, or Net Rental Income",Social Security Income,Supplemental Income,Public Assistance Income,Public Assistance or Food Stamp/SNAP Income,Retirement Income,Other Types of Income,Aggregate Earnings for Households,Value,Selected Monthly Owner Costs,Monthly Housing Costs,State
Alabama,5039877.0,1967559.0,53913.0,154261089800.0,149382533800.0,4920613.0,172800.0,1967559.0,1967559.0,1967559.0,1967559.0,1967559.0,1967559.0,1967559.0,1967559.0,1967559.0,1967559.0,106105662300.0,1377932.0,1377932.0,1967559.0,01
Puerto Rico,3263584.0,1165982.0,22237.0,47218601100.0,41336950400.0,3235303.0,114100.0,1165982.0,1165982.0,1165982.0,1165982.0,1165982.0,1165982.0,1165982.0,1165982.0,1165982.0,1165982.0,24131497800.0,800555.0,800555.0,1165982.0,72
Arizona,7276316.0,2817723.0,69056.0,264094176400.0,262547505300.0,7126930.0,336300.0,2817723.0,2817723.0,2817723.0,2817723.0,2817723.0,2817723.0,2817723.0,2817723.0,2817723.0,2817723.0,185633351800.0,1905690.0,1905690.0,2817723.0,04
Arkansas,3025891.0,1183675.0,52528.0,88513785600.0,86557049800.0,2944289.0,162300.0,1183675.0,1183675.0,1183675.0,1183675.0,1183675.0,1183675.0,1183675.0,1183675.0,1183675.0,1183675.0,61074929300.0,793038.0,793038.0,1183675.0,05
California,39237836.0,13429063.0,84907.0,1663511603000.0,1624282855700.0,38481790.0,648100.0,13429063.0,13429063.0,13429063.0,13429063.0,13429063.0,13429063.0,13429063.0,13429063.0,13429063.0,13429063.0,1214226372900.0,7502706.0,7502706.0,13429063.0,06
Colorado,5812069.0,2313042.0,82254.0,259316772000.0,255939235600.0,5696140.0,466200.0,2313042.0,2313042.0,2313042.0,2313042.0,2313042.0,2313042.0,2313042.0,2313042.0,2313042.0,2313042.0,191696071600.0,1546233.0,1546233.0,2313042.0,08
Connecticut,3605597.0,1428313.0,83771.0,173594098200.0,171410091900.0,3506226.0,311500.0,1428313.0,1428313.0,1428313.0,1428313.0,1428313.0,1428313.0,1428313.0,1428313.0,1428313.0,1428313.0,127662466300.0,951516.0,951516.0,1428313.0,09
Delaware,1003384.0,395656.0,71091.0,38928189700.0,37837667600.0,978675.0,300500.0,395656.0,395656.0,395656.0,395656.0,395656.0,395656.0,395656.0,395656.0,395656.0,395656.0,25988159200.0,287111.0,287111.0,395656.0,10
District of Columbia,670050.0,319565.0,90088.0,44094756300.0,44373409300.0,637491.0,669900.0,319565.0,319565.0,319565.0,319565.0,319565.0,319565.0,319565.0,319565.0,319565.0,319565.0,36197651400.0,132936.0,132936.0,319565.0,11
Florida,21781128.0,8565329.0,63062.0,788396360200.0,767221392500.0,21368535.0,290700.0,8565329.0,8565329.0,8565329.0,8565329.0,8565329.0,8565329.0,8565329.0,8565329.0,8565329.0,8565329.0,519670972100.0,5772329.0,5772329.0,8565329.0,12
Georgia,10799566.0,4001109.0,66559.0,378914955800.0,369803109400.0,10529506.0,249700.0,4001109.0,4001109.0,4001109.0,4001109.0,4001109.0,4001109.0,4001109.0,4001109.0,4001109.0,4001109.0,277864995800.0,2642126.0,2642126.0,4001109.0,13
Hawaii,1441553.0,490080.0,84857.0,55663595700.0,54767005900.0,1402392.0,722500.0,490080.0,490080.0,490080.0,490080.0,490080.0,490080.0,490080.0,490080.0,490080.0,490080.0,37103063000.0,306653.0,306653.0,490080.0,15
Idaho,1900923.0,693882.0,66474.0,64328913700.0,62418311800.0,1868374.0,369300.0,693882.0,693882.0,693882.0,693882.0,693882.0,693882.0,693882.0,693882.0,693882.0,693882.0,42708379300.0,498872.0,498872.0,693882.0,16
Illinois,12671469.0,4991641.0,72205.0,504254418500.0,498534387400.0,12380582.0,231500.0,4991641.0,4991641.0,4991641.0,4991641.0,4991641.0,4991641.0,4991641.0,4991641.0,4991641.0,4991641.0,377172114300.0,3370654.0,3370654.0,4991641.0,17
Indiana,6805985.0,2680694.0,62743.0,224966336800.0,221539786800.0,6608427.0,182400.0,2680694.0,2680694.0,2680694.0,2680694.0,2680694.0,2680694.0,2680694.0,2680694.0,2680694.0,2680694.0,166794740600.0,1905849.0,1905849.0,2680694.0,18
