Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Aitkin County                   ,1,1,1,0,51+,30874,14.84,0,341,191,570,863,249,359
Aitkin County                   ,1,1,1,0,19-50,30471,14.65,0,353,152,570,863,253,348
Anoka County                    ,1,1,1,0,19-50,36938,17.76,0,354,161,1066,680,389,428
Anoka County                    ,1,1,1,0,51+,37268,17.92,0,342,199,1066,680,385,434
Becker County                   ,1,1,1,0,19-50,28659,13.78,0,353,152,592,722,259,310
Becker County                   ,1,1,1,0,51+,29069,13.98,0,341,191,592,722,255,321
Beltrami County                 ,1,1,1,0,51+,28656,13.78,0,341,191,612,675,261,308
Beltrami County                 ,1,1,1,0,19-50,28291,13.6,0,353,152,612,675,264,302
Benton County                   ,1,1,1,0,51+,30211,14.52,0,334,191,686,696,279,332
Benton County                   ,1,1,1,0,19-50,29862,14.36,0,346,152,686,696,283,325
Big Stone County                ,1,1,1,0,51+,27380,13.16,0,347,191,565,638,250,291
Big Stone County                ,1,1,1,0,19-50,27015,12.99,0,359,152,565,638,253,284
Blue Earth County               ,1,1,1,0,19-50,29483,14.17,0,352,152,743,597,300,313
Blue Earth County               ,1,1,1,0,51+,29832,14.34,0,340,191,743,597,296,319
Brown County                    ,1,1,1,0,19-50,26588,12.78,0,356,152,590,586,259,273
Brown County                    ,1,1,1,0,51+,26974,12.97,0,344,191,590,586,256,281
Carlton County                  ,1,1,1,0,19-50,30176,14.51,0,352,152,689,706,285,331
Carlton County                  ,1,1,1,0,51+,30605,14.71,0,340,191,689,706,282,342
Carver County                   ,1,1,1,0,51+,37313,17.94,0,348,199,1066,675,387,434
Carver County                   ,1,1,1,0,19-50,36968,17.77,0,360,161,1066,675,390,429
Cass County                     ,1,1,1,0,51+,29045,13.96,0,341,191,568,748,249,323
Cass County                     ,1,1,1,0,19-50,28622,13.76,0,353,152,568,748,252,312
Central Minnesota               ,1,1,1,0,51+,33852,16.27,0,338,195,842,733,323,390
Central Minnesota               ,1,1,1,0,19-50,33492,16.1,0,350,156,842,733,326,384
Chippewa County                 ,1,1,1,0,51+,28025,13.47,0,346,191,580,665,253,300
Chippewa County                 ,1,1,1,0,19-50,27675,13.31,0,358,152,580,665,257,294
Chisago County                  ,1,1,1,0,51+,38682,18.6,0,339,199,1066,769,384,467
Chisago County                  ,1,1,1,0,19-50,38352,18.44,0,351,161,1066,769,388,461
Clay County                     ,1,1,1,0,51+,29917,14.38,0,343,191,718,628,290,323
Clay County                     ,1,1,1,0,19-50,29568,14.22,0,355,152,718,628,294,317
Clearwater County               ,1,1,1,0,19-50,29661,14.26,0,353,152,573,806,254,334
Clearwater County               ,1,1,1,0,51+,30010,14.43,0,341,191,573,806,250,340
Cook County                     ,1,1,1,0,51+,27496,13.22,0,340,191,642,565,269,284
Cook County                     ,1,1,1,0,19-50,27132,13.04,0,352,152,642,565,272,278
Cottonwood County               ,1,1,1,0,51+,27394,13.17,0,346,191,584,618,255,289
Cottonwood County               ,1,1,1,0,19-50,27029,12.99,0,358,152,584,618,258,282
Crow Wing County                ,1,1,1,0,51+,29407,14.14,0,339,191,609,727,259,326
Crow Wing County                ,1,1,1,0,19-50,29057,13.97,0,351,152,609,727,263,319
Dakota County                   ,1,1,1,0,51+,36847,17.71,0,344,199,1066,649,386,427
Dakota County                   ,1,1,1,0,19-50,36502,17.55,0,356,161,1066,649,389,421
Dodge County                    ,1,1,1,0,19-50,32759,15.75,0,351,152,798,743,314,372
Dodge County                    ,1,1,1,0,51+,33123,15.92,0,339,191,798,743,311,378
Douglas County                  ,1,1,1,0,19-50,27915,13.42,0,352,152,582,686,256,298
Douglas County                  ,1,1,1,0,51+,28280,13.6,0,340,191,582,686,253,305
EDR  1 - Northwest              ,1,1,1,0,19-50,27960,13.44,0,357,152,622,635,268,296
EDR  1 - Northwest              ,1,1,1,0,51+,28332,13.62,0,345,191,622,635,265,303
EDR  2 - Headwaters             ,1,1,1,0,19-50,28704,13.8,0,354,152,598,716,260,312
EDR  2 - Headwaters             ,1,1,1,0,51+,29064,13.97,0,342,191,598,716,257,318
EDR  3 - Arrowhead              ,1,1,1,0,51+,29628,14.24,0,341,191,665,673,275,324
